DATAFLOW,LAST UPDATE,freq,unit,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,1979,148084,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,1980,156056,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,1981,152531,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,1982,147976,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,1983,134413,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,1984,131322,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,1985,132269,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,1986,134964,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,1987,134097,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,1988,133147,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,1989,132021,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,1990,144644,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,1991,138405,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,1992,132087,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,1993,106863,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,1994,97567,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,1995,97092,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,1996,98490,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,1999,72382,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,2000,61378,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,2001,51165,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,2002,50824,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,2003,48035,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,2004,47223,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,2005,41795,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,2006,37272,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,2007,37594,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,2008,36593,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,2009,33733,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,2010,31548,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,2011,31716,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,2012,29992,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,2013,29505,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,2014,28145,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,2015,27782,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,2016,26412,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,2017,24287,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,2018,23437,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,2019,21864,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,2020,19328,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,2021,19353,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Belarus,2006,58516,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Belarus,2007,46285,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Belarus,2008,42197,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Belarus,2009,35967,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Belarus,2011,32031,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Belarus,2012,28628,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Belarus,2013,31206,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Belarus,2014,29797,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Belarus,2015,29217,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Belarus,2016,27467,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Belarus,2017,25249,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Belarus,2018,23305,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Switzerland,2007,10035,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Switzerland,2008,10310,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Switzerland,2009,10137,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Switzerland,2010,10650,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Switzerland,2011,10694,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Switzerland,2012,10531,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Switzerland,2013,10137,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Switzerland,2014,9990,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Switzerland,2015,10054,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Switzerland,2016,10085,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Switzerland,2017,9863,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Switzerland,2018,10263,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Switzerland,2019,9069,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Switzerland,2020,10775,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,1960,67550,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,1961,70062,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,1962,66031,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,1963,51470,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,1964,51524,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,1965,58554,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,1966,65818,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,1967,69850,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,1968,72488,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,1969,74263,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,1970,71893,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,1971,68652,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,1972,65079,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,1973,55898,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,1974,56969,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,1975,55511,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,1976,56889,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,1977,61114,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,1978,63904,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,1979,64505,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,1980,68930,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,1981,71574,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,1982,74531,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,1983,75037,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,1984,79534,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,1985,83042,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,1986,83564,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,1987,109626,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,1988,113730,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,1989,111683,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,1990,111268,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,1991,106042,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,1992,94180,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,1993,70634,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,1994,54836,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,1995,49531,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,1996,48086,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,1997,45022,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,1998,42959,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,1999,39382,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,2000,34623,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,2001,32528,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,2002,31142,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,2003,29298,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,2004,27574,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,2005,26453,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,2006,25352,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,2007,25414,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,2008,25760,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,2009,24636,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,2010,23998,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,2011,24055,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,2012,23032,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,2013,22714,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,2014,21893,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,2015,20403,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,2016,20406,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,2017,19415,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,2018,18298,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,2019,17757,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,2020,16886,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,2021,15492,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,2022,16438,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Czechia,2023,15088,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Germany,1977,134454,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Germany,1978,152635,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Germany,1979,167923,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Germany,1980,179805,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Germany,1981,183090,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Germany,1982,187478,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Germany,1983,180625,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Germany,1984,178854,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Germany,1985,173792,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Germany,1986,169999,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Germany,1987,171222,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Germany,1988,164624,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Germany,1989,149196,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Germany,1990,145267,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Germany,1991,124377,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Germany,1992,118611,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Germany,1993,111236,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Germany,1994,103586,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Germany,1995,97937,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Germany,1996,130899,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Germany,1997,130890,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Germany,1999,130471,,
