,country,iso,yearstart,yearend,region,subregion,numberofabortions,abortionrate,perc_p_ending_in_a,spontaneous,datatype,datasource,complete,classification,modelused,marriedonly,notes
17,Albania,8.0,2000,2000,Europe and Northern America,Southern Europe,9869.0,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,Yes,,
18,Albania,8.0,2001,2001,Europe and Northern America,Southern Europe,17125.0,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
19,Albania,8.0,2001,2001,Europe and Northern America,Southern Europe,9122.0,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,Yes,,
20,Albania,8.0,2002,2002,Europe and Northern America,Southern Europe,17500.0,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
21,Albania,8.0,2002,2002,Europe and Northern America,Southern Europe,8756.0,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,Yes,,
22,Albania,8.0,2003,2003,Europe and Northern America,Southern Europe,6890.0,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,Yes,,
23,Albania,8.0,2003,2003,Europe and Northern America,Southern Europe,12087.0,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
24,Albania,8.0,2004,2004,Europe and Northern America,Southern Europe,10517.0,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
25,Albania,8.0,2004,2004,Europe and Northern America,Southern Europe,6890.0,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,Yes,,
26,Albania,8.0,2005,2005,Europe and Northern America,Southern Europe,4647.0,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,Yes,,
27,Albania,8.0,2005,2005,Europe and Northern America,Southern Europe,9403.0,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
28,Albania,8.0,2006,2006,Europe and Northern America,Southern Europe,9552.0,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
29,Albania,8.0,2006,2006,Europe and Northern America,Southern Europe,4513.0,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,Yes,,
30,Albania,8.0,2007,2007,Europe and Northern America,Southern Europe,9030.0,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
31,Albania,8.0,2007,2007,Europe and Northern America,Southern Europe,4076.0,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,Yes,,
32,Albania,8.0,2008,2008,Europe and Northern America,Southern Europe,3927.0,,,No,Official Statistics,Guttmacher Questionnaire (publicly available),Incomplete,Below survey of women,,,
33,Albania,8.0,2008,2008,Europe and Northern America,Southern Europe,8335.0,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,,,
34,Albania,8.0,2008,2008,Europe and Northern America,Southern Europe,3927.0,,,No,Official Statistics,Institute of Statistics and Albania Ministry of Health,Incomplete,Below survey of women,Yes,,
35,Albania,8.0,2009,2009,Europe and Northern America,Southern Europe,8139.0,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,,,
36,Albania,8.0,2009,2009,Europe and Northern America,Southern Europe,3675.0,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Below survey of women,,,
37,Albania,8.0,2008,2009,Europe and Northern America,Southern Europe,,8.4,,No,Survey,Chae et al 2017a,,,Yes,All women,
38,Albania,8.0,2009,2009,Europe and Northern America,Southern Europe,3554.0,,,No,Official Statistics,Institute of Statistics and Albania Ministry of Health,Incomplete,Below survey of women,Yes,,
39,Albania,8.0,2010,2010,Europe and Northern America,Southern Europe,2267.0,,,No,Official Statistics,Institute of Statistics and Albania Ministry of Health,Incomplete,Below survey of women,Yes,,
40,Albania,8.0,2010,2010,Europe and Northern America,Southern Europe,2636.0,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Below survey of women,,,
41,Albania,8.0,2010,2010,Europe and Northern America,Southern Europe,6919.0,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,,,
42,Albania,8.0,2011,2011,Europe and Northern America,Southern Europe,7042.0,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,,,
43,Albania,8.0,2011,2011,Europe and Northern America,Southern Europe,2395.0,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Below survey of women,,,
44,Albania,8.0,2011,2011,Europe and Northern America,Southern Europe,1885.0,,,No,Official Statistics,Institute of Statistics and Albania Ministry of Health,Incomplete,Below survey of women,Yes,,
45,Albania,8.0,2012,2012,Europe and Northern America,Southern Europe,1766.0,,,No,Official Statistics,Institute of Statistics and Albania Ministry of Health,Incomplete,Acknowledged incomplete,Yes,,
46,Albania,8.0,2012,2012,Europe and Northern America,Southern Europe,2031.0,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,,,
47,Albania,8.0,2012,2012,Europe and Northern America,Southern Europe,2699.0,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,,,
48,Albania,8.0,2012,2012,Europe and Northern America,Southern Europe,6755.0,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
49,Albania,8.0,2013,2013,Europe and Northern America,Southern Europe,1457.0,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,,,
50,Albania,8.0,2013,2013,Europe and Northern America,Southern Europe,2177.0,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,Yes,,
51,Albania,8.0,2013,2013,Europe and Northern America,Southern Europe,6442.0,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
52,Albania,8.0,2014,2014,Europe and Northern America,Southern Europe,1679.0,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,Yes,,
53,Albania,8.0,2014,2014,Europe and Northern America,Southern Europe,5572.0,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
54,Albania,8.0,2015,2015,Europe and Northern America,Southern Europe,5619.0,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
55,Albania,8.0,2015,2015,Europe and Northern America,Southern Europe,1433.0,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,Yes,,
56,Albania,8.0,2016,2016,Europe and Northern America,Southern Europe,1203.0,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,Yes,,
57,Albania,8.0,2016,2016,Europe and Northern America,Southern Europe,1206.0,,,No,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
58,Albania,8.0,2017,2017,Europe and Northern America,Southern Europe,1193.0,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,Yes,,
59,Azerbaijan,31.0,1990,1990,Western Asia and Northern Africa,Western Asia,24611.0,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,Yes,,
60,Azerbaijan,31.0,1991,1991,Western Asia and Northern Africa,Western Asia,23432.0,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,Yes,,
61,Azerbaijan,31.0,1992,1992,Western Asia and Northern Africa,Western Asia,32287.0,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,Yes,,
62,Azerbaijan,31.0,1993,1993,Western Asia and Northern Africa,Western Asia,33951.0,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,Yes,,
63,Azerbaijan,31.0,1994,1994,Western Asia and Northern Africa,Western Asia,33280.0,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,Yes,,
64,Azerbaijan,31.0,1995,1995,Western Asia and Northern Africa,Western Asia,28610.0,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,Yes,,
65,Azerbaijan,31.0,1995,1995,Western Asia and Northern Africa,Western Asia,28700.0,,,Yes,Official Statistics,Henshaw 2001,Incomplete,Below survey of women,,,
66,Azerbaijan,31.0,1996,1996,Western Asia and Northern Africa,Western Asia,21718.0,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Below survey of women,Yes,,
67,Azerbaijan,31.0,1996,1996,Western Asia and Northern Africa,Western Asia,28375.0,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,,,
68,Azerbaijan,31.0,1997,1997,Western Asia and Northern Africa,Western Asia,18628.0,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Below survey of women,Yes,,
69,Azerbaijan,31.0,1997,1997,Western Asia and Northern Africa,Western Asia,25182.0,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,,,
70,Azerbaijan,31.0,1998,1998,Western Asia and Northern Africa,Western Asia,17042.0,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Below survey of women,Yes,,
71,Azerbaijan,31.0,1998,1998,Western Asia and Northern Africa,Western Asia,29914.0,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,,,
72,Azerbaijan,31.0,1999,1999,Western Asia and Northern Africa,Western Asia,20878.0,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,,,
73,Azerbaijan,31.0,1999,1999,Western Asia and Northern Africa,Western Asia,13811.0,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Below survey of women,Yes,,
74,Azerbaijan,31.0,2000,2000,Western Asia and Northern Africa,Western Asia,17501.0,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,,,
75,Azerbaijan,31.0,2000,2000,Western Asia and Northern Africa,Western Asia,13029.0,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Below survey of women,Yes,,
76,Azerbaijan,31.0,2001,2001,Western Asia and Northern Africa,Western Asia,18332.0,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,,,
77,Azerbaijan,31.0,1998,2001,Western Asia and Northern Africa,Western Asia,,116.0,,No,Survey, 2001 Azerbaijan RHS,,,Yes,All women,
78,Azerbaijan,31.0,2001,2001,Western Asia and Northern Africa,Western Asia,12361.0,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Below survey of women,Yes,,
79,Azerbaijan,31.0,2002,2002,Western Asia and Northern Africa,Western Asia,16606.0,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,,,
80,Azerbaijan,31.0,2002,2002,Western Asia and Northern Africa,Western Asia,11835.0,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Below survey of women,Yes,,
81,Azerbaijan,31.0,2003,2003,Western Asia and Northern Africa,Western Asia,16903.0,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,,,
82,Azerbaijan,31.0,2003,2003,Western Asia and Northern Africa,Western Asia,12012.0,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Below survey of women,Yes,,
83,Azerbaijan,31.0,2004,2004,Western Asia and Northern Africa,Western Asia,19798.0,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,Yes,,
84,Azerbaijan,31.0,2005,2005,Western Asia and Northern Africa,Western Asia,19600.0,7.8,,Yes,Official Statistics,State Statistical Committee of the Republic of Azerbaijan,Incomplete,Below survey of women,Yes,,
85,Azerbaijan,31.0,2005,2005,Western Asia and Northern Africa,Western Asia,19577.0,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,,,
86,Azerbaijan,31.0,2006,2006,Western Asia and Northern Africa,Western Asia,20864.0,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,Yes,,
87,Azerbaijan,31.0,2003,2006,Western Asia and Northern Africa,Western Asia,,71.0,,No,Survey,2006 Azerbaijan DHS,,,Yes,All women,
88,Azerbaijan,31.0,2007,2007,Western Asia and Northern Africa,Western Asia,22323.0,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,Yes,,
89,Azerbaijan,31.0,2008,2008,Western Asia and Northern Africa,Western Asia,25247.0,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
90,Azerbaijan,31.0,2008,2008,Western Asia and Northern Africa,Western Asia,20325.0,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,Yes,,
91,Azerbaijan,31.0,2009,2009,Western Asia and Northern Africa,Western Asia,19897.0,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,Yes,,
92,Azerbaijan,31.0,2009,2009,Western Asia and Northern Africa,Western Asia,24554.0,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
93,Azerbaijan,31.0,2010,2010,Western Asia and Northern Africa,Western Asia,20075.0,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,,,
94,Azerbaijan,31.0,2010,2010,Western Asia and Northern Africa,Western Asia,26800.0,9.9,,Yes,Official Statistics,State Statistical Committee of the Republic of Azerbaijan,Incomplete,Acknowledged incomplete,Yes,,
95,Azerbaijan,31.0,2010,2010,Western Asia and Northern Africa,Western Asia,26799.0,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
96,Azerbaijan,31.0,2011,2011,Western Asia and Northern Africa,Western Asia,21529.0,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,Yes,,
97,Azerbaijan,31.0,2008,2011,Western Asia and Northern Africa,Western Asia,,50.0,,No,Survey, 2011 Azerbaijan DHS,,,Yes,All women,
98,Azerbaijan,31.0,2011,2011,Western Asia and Northern Africa,Western Asia,27787.0,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
99,Azerbaijan,31.0,2012,2012,Western Asia and Northern Africa,Western Asia,25345.0,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,,,
100,Azerbaijan,31.0,2012,2012,Western Asia and Northern Africa,Western Asia,31037.0,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
101,Azerbaijan,31.0,2012,2012,Western Asia and Northern Africa,Western Asia,,11.5,,Yes,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,Yes,,
102,Azerbaijan,31.0,2013,2013,Western Asia and Northern Africa,Western Asia,,10.4,,Yes,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,,,
103,Azerbaijan,31.0,2013,2013,Western Asia and Northern Africa,Western Asia,23120.0,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,,,
104,Azerbaijan,31.0,2013,2013,Western Asia and Northern Africa,Western Asia,27900.0,10.4,,Yes,Official Statistics,State Statistical Committee of the Republic of Azerbaijan,Incomplete,Acknowledged incomplete,Yes,,
105,Azerbaijan,31.0,2013,2013,Western Asia and Northern Africa,Western Asia,27892.0,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
106,Azerbaijan,31.0,2014,2014,Western Asia and Northern Africa,Western Asia,,10.1,,Yes,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,,,
107,Azerbaijan,31.0,2014,2014,Western Asia and Northern Africa,Western Asia,27200.0,10.1,,Yes,Official Statistics,State Statistical Committee of the Republic of Azerbaijan,Incomplete,Acknowledged incomplete,Yes,,
108,Azerbaijan,31.0,2015,2015,Western Asia and Northern Africa,Western Asia,27452.0,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
109,Azerbaijan,31.0,2015,2015,Western Asia and Northern Africa,Western Asia,27500.0,10.3,,Yes,Official Statistics,State Statistical Committee of the Republic of Azerbaijan,Incomplete,Acknowledged incomplete,Yes,,
110,Azerbaijan,31.0,2015,2015,Western Asia and Northern Africa,Western Asia,,10.3,,Yes,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,,,
111,Azerbaijan,31.0,2016,2016,Western Asia and Northern Africa,Western Asia,34600.0,13.0,,Yes,Official Statistics,State Statistical Committee of the Republic of Azerbaijan,Incomplete,Below survey of women,Yes,,
112,Azerbaijan,31.0,2016,2016,Western Asia and Northern Africa,Western Asia,34569.0,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,,,
113,Azerbaijan,31.0,2017,2017,Western Asia and Northern Africa,Western Asia,37600.0,14.2,,Yes,Official Statistics,State Statistical Committee of the Republic of Azerbaijan,Incomplete,Below survey of women,Yes,,
114,Argentina,32.0,2000,2000,Latin America,South America,371965.0,40.8,,No,Study,Mario and Pantelides 2009,,,Yes,All women,
115,Australia,36.0,1990,1990,Australia and New Zealand,Australia and New Zealand,4463.0,13.4,,No,Official Statistics,"Government of South Australia, Pregnancy Outcome Unit",Incomplete,Acknowledged incomplete,Yes,,Southern Australia only
116,Australia,36.0,1990,1990,Australia and New Zealand,Australia and New Zealand,80113.0,19.9,,No,Study,Chan and Sage 2005,,,Yes,All women,
117,Australia,36.0,1991,1991,Australia and New Zealand,Australia and New Zealand,81430.0,20.0,,No,Study,Chan and Sage 2005,,,Yes,All women,
118,Australia,36.0,1991,1991,Australia and New Zealand,Australia and New Zealand,4496.0,14.1,,No,Official Statistics,"Government of South Australia, Pregnancy Outcome Unit",Incomplete,Acknowledged incomplete,Yes,,Southern Australia only
119,Australia,36.0,1992,1992,Australia and New Zealand,Australia and New Zealand,4717.0,14.2,,No,Official Statistics,"Government of South Australia, Pregnancy Outcome Unit",Incomplete,Acknowledged incomplete,Yes,,Southern Australia only
120,Australia,36.0,1992,1992,Australia and New Zealand,Australia and New Zealand,85003.0,20.8,,No,Study,Chan and Sage 2005,,,Yes,All women,
121,Australia,36.0,1993,1993,Australia and New Zealand,Australia and New Zealand,4959.0,15.0,,No,Official Statistics,"Government of South Australia, Pregnancy Outcome Unit",Incomplete,Acknowledged incomplete,Yes,,Southern Australia only
122,Australia,36.0,1993,1993,Australia and New Zealand,Australia and New Zealand,85153.0,20.8,,No,Study,Chan and Sage 2005,,,Yes,All women,
123,Australia,36.0,1994,1994,Australia and New Zealand,Australia and New Zealand,5140.0,15.7,,No,Official Statistics,"Government of South Australia, Pregnancy Outcome Unit",Incomplete,Acknowledged incomplete,Yes,,Southern Australia only
124,Australia,36.0,1994,1994,Australia and New Zealand,Australia and New Zealand,87965.0,21.5,,No,Study,Chan and Sage 2005,,,Yes,All women,
125,Australia,36.0,1995,1995,Australia and New Zealand,Australia and New Zealand,90182.0,21.9,,No,Study,Chan and Sage 2005,,,Yes,All women,
126,Australia,36.0,1995,1995,Australia and New Zealand,Australia and New Zealand,5475.0,16.9,,No,Official Statistics,"Government of South Australia, Pregnancy Outcome Unit",Incomplete,Acknowledged incomplete,Yes,,Southern Australia only
127,Australia,36.0,1996,1996,Australia and New Zealand,Australia and New Zealand,89076.0,21.5,,No,Study,Chan and Sage 2005,,,Yes,All women,
128,Australia,36.0,1996,1996,Australia and New Zealand,Australia and New Zealand,5545.0,17.2,,No,Official Statistics,"Government of South Australia, Pregnancy Outcome Unit",Incomplete,Acknowledged incomplete,Yes,,Southern Australia only
129,Australia,36.0,1997,1997,Australia and New Zealand,Australia and New Zealand,87497.0,21.0,,No,Study,Chan and Sage 2005,,,Yes,All women,
130,Australia,36.0,1997,1997,Australia and New Zealand,Australia and New Zealand,5609.0,17.5,,No,Official Statistics,"Government of South Australia, Pregnancy Outcome Unit",Incomplete,Acknowledged incomplete,Yes,,Southern Australia only
131,Australia,36.0,1998,1998,Australia and New Zealand,Australia and New Zealand,5488.0,17.2,,No,Official Statistics,"Government of South Australia, Pregnancy Outcome Unit",Incomplete,Acknowledged incomplete,Yes,,Southern Australia only
132,Australia,36.0,1998,1998,Australia and New Zealand,Australia and New Zealand,86862.0,20.8,,No,Study,Chan and Sage 2005,,,Yes,All women,
133,Australia,36.0,1999,1999,Australia and New Zealand,Australia and New Zealand,8220.0,19.7,,No,Official Statistics,"Government of Western Australia, Department of Health",Incomplete,Acknowledged incomplete,Yes,,Western Australia only
134,Australia,36.0,1999,1999,Australia and New Zealand,Australia and New Zealand,85731.0,20.4,,No,Study,Chan and Sage 2005,,,Yes,All women,
135,Australia,36.0,1999,1999,Australia and New Zealand,Australia and New Zealand,5679.0,17.9,,No,Official Statistics,"Government of South Australia, Pregnancy Outcome Unit",Incomplete,Acknowledged incomplete,Yes,,Southern Australia only
136,Australia,36.0,2000,2000,Australia and New Zealand,Australia and New Zealand,86931.0,20.6,,No,Study,Chan and Sage 2005,,,Yes,All women,
137,Australia,36.0,2000,2000,Australia and New Zealand,Australia and New Zealand,5580.0,17.6,,No,Official Statistics,"Government of South Australia, Pregnancy Outcome Unit",Incomplete,Acknowledged incomplete,Yes,,Southern Australia only
138,Australia,36.0,2000,2000,Australia and New Zealand,Australia and New Zealand,8337.0,19.9,,No,Official Statistics,"Government of Western Australia, Department of Health",Incomplete,Acknowledged incomplete,Yes,,Western Australia only
139,Australia,36.0,2001,2001,Australia and New Zealand,Australia and New Zealand,88306.0,20.8,,No,Study,Chan and Sage 2005,,,Yes,All women,
140,Australia,36.0,2001,2001,Australia and New Zealand,Australia and New Zealand,5579.0,17.7,,No,Official Statistics,"Government of South Australia, Pregnancy Outcome Unit",Incomplete,Acknowledged incomplete,Yes,,Southern Australia only
141,Australia,36.0,2001,2001,Australia and New Zealand,Australia and New Zealand,8378.0,19.9,,No,Official Statistics,"Government of Western Australia, Department of Health",Incomplete,Acknowledged incomplete,Yes,,Western Australia only
142,Australia,36.0,2002,2002,Australia and New Zealand,Australia and New Zealand,8262.0,19.6,,No,Official Statistics,"Government of Western Australia, Department of Health",Incomplete,Acknowledged incomplete,Yes,,Western Australia only
143,Australia,36.0,2002,2002,Australia and New Zealand,Australia and New Zealand,5467.0,17.5,,No,Official Statistics,"Government of South Australia, Pregnancy Outcome Unit",Incomplete,Acknowledged incomplete,Yes,,Southern Australia only
144,Australia,36.0,2002,2002,Australia and New Zealand,Australia and New Zealand,86552.0,20.3,,No,Study,Chan and Sage 2005,,,Yes,All women,
145,Australia,36.0,2003,2003,Australia and New Zealand,Australia and New Zealand,7941.0,18.7,,No,Official Statistics,"Government of Western Australia, Department of Health",Incomplete,Acknowledged incomplete,Yes,,Western Australia only
146,Australia,36.0,2003,2003,Australia and New Zealand,Australia and New Zealand,5216.0,16.7,,No,Official Statistics,"Government of South Australia, Pregnancy Outcome Unit",Incomplete,Acknowledged incomplete,Yes,,Southern Australia only
147,Australia,36.0,2003,2003,Australia and New Zealand,Australia and New Zealand,84460.0,19.7,,No,Study,Chan and Sage 2005,,,Yes,All women,
148,Australia,36.0,2004,2004,Australia and New Zealand,Australia and New Zealand,4931.0,15.9,,No,Official Statistics,"Government of South Australia, Pregnancy Outcome Unit",Incomplete,Acknowledged incomplete,Yes,,Southern Australia only
149,Australia,36.0,2004,2004,Australia and New Zealand,Australia and New Zealand,7869.0,18.4,,No,Official Statistics,"Government of Western Australia, Department of Health",Incomplete,Acknowledged incomplete,Yes,,Western Australia only
150,Australia,36.0,2005,2005,Australia and New Zealand,Australia and New Zealand,7829.0,18.2,,No,Official Statistics,"Government of Western Australia, Department of Health",Incomplete,Acknowledged incomplete,Yes,,Western Australia only
151,Australia,36.0,2005,2005,Australia and New Zealand,Australia and New Zealand,4715.0,15.3,,No,Official Statistics,"Government of South Australia, Pregnancy Outcome Unit",Incomplete,Acknowledged incomplete,Yes,,Southern Australia only
152,Australia,36.0,2006,2006,Australia and New Zealand,Australia and New Zealand,4889.0,15.5,,No,Official Statistics,"Government of South Australia, Pregnancy Outcome Unit",Incomplete,Acknowledged incomplete,Yes,,Southern Australia only
153,Australia,36.0,2006,2006,Australia and New Zealand,Australia and New Zealand,8336.0,19.1,,No,Official Statistics,"Government of Western Australia, Department of Health",Incomplete,Acknowledged incomplete,Yes,,Western Australia only
154,Australia,36.0,2007,2007,Australia and New Zealand,Australia and New Zealand,8424.0,19.0,,No,Official Statistics,"Government of Western Australia, Department of Health",Incomplete,Acknowledged incomplete,Yes,,Western Australia only
155,Australia,36.0,2007,2007,Australia and New Zealand,Australia and New Zealand,4885.0,15.4,,No,Official Statistics,"Government of South Australia, Pregnancy Outcome Unit",Incomplete,Acknowledged incomplete,Yes,,Southern Australia only
156,Australia,36.0,2008,2008,Australia and New Zealand,Australia and New Zealand,5101.0,16.0,,No,Official Statistics,"Government of South Australia, Pregnancy Outcome Unit",Incomplete,Acknowledged incomplete,Yes,,Southern Australia only
157,Australia,36.0,2008,2008,Australia and New Zealand,Australia and New Zealand,8668.0,19.0,,No,Official Statistics,"Government of Western Australia, Department of Health",Incomplete,Acknowledged incomplete,Yes,,Western Australia only
158,Australia,36.0,2009,2009,Australia and New Zealand,Australia and New Zealand,8885.0,18.8,,No,Official Statistics,"Government of Western Australia, Department of Health",Incomplete,Acknowledged incomplete,Yes,,Western Australia only
