DATAFLOW,LAST UPDATE,freq,unit,age,ord_brth,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Azerbaijan,2023,112620,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Belgium,2014,125014,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Belgium,2015,122274,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Belgium,2016,121896,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Belgium,2017,119690,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Belgium,2018,118319,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Belgium,2019,117695,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Belgium,2020,114350,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Belgium,2021,118349,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Belgium,2022,114095,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Belgium,2023,110785,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Bulgaria,2014,67585,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Bulgaria,2015,65950,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Bulgaria,2016,64984,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Bulgaria,2017,63955,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Bulgaria,2018,62197,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Bulgaria,2019,61538,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Bulgaria,2020,59086,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Bulgaria,2021,58678,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Bulgaria,2022,56596,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Bulgaria,2023,57197,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Belarus,2014,118534,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Belarus,2015,119028,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Belarus,2016,117779,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Belarus,2017,102556,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Belarus,2018,94042,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Switzerland,2014,85287,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Switzerland,2015,86559,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Switzerland,2016,87883,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Switzerland,2017,87381,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Switzerland,2018,87851,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Switzerland,2019,86172,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Switzerland,2020,85914,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Switzerland,2021,89644,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Switzerland,2022,82371,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Switzerland,2023,80024,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Cyprus,2014,9258,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Cyprus,2015,9170,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Cyprus,2016,9455,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Cyprus,2017,9229,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Cyprus,2018,9329,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Cyprus,2019,9548,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Cyprus,2020,9930,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Cyprus,2021,10309,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Cyprus,2022,10197,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Cyprus,2023,10241,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Czechia,2014,109860,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Czechia,2015,110764,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Czechia,2016,112663,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Czechia,2017,114405,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Czechia,2018,114036,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Czechia,2019,112231,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Czechia,2020,110200,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Czechia,2021,111793,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Czechia,2022,101299,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Czechia,2023,91149,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Germany,2014,714927,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Germany,2015,737575,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Germany,2016,792141,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Germany,2017,784901,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Germany,2018,787523,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Germany,2019,778090,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Germany,2020,773144,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Germany,2021,795492,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Germany,2022,738819,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Germany,2023,692989,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Germany including former GDR,2014,714927,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Germany including former GDR,2015,737575,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Germany including former GDR,2016,792141,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Germany including former GDR,2017,784901,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Germany including former GDR,2018,787523,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Germany including former GDR,2019,778090,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Germany including former GDR,2020,773144,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Germany including former GDR,2021,795492,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Germany including former GDR,2022,738819,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Germany including former GDR,2023,692989,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Denmark,2014,56870,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Denmark,2015,58205,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Denmark,2016,61614,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Denmark,2017,61397,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Denmark,2018,61476,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Denmark,2019,61167,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Denmark,2020,60937,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Denmark,2021,63473,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Denmark,2022,58430,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Denmark,2023,57469,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Euro area - 19 countries  (2015-2022),2014,3304265,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Euro area - 19 countries  (2015-2022),2015,3278782,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Euro area - 19 countries  (2015-2022),2016,3300826,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Euro area - 19 countries  (2015-2022),2017,3228828,bep,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Euro area - 19 countries  (2015-2022),2018,3169478,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Euro area - 19 countries  (2015-2022),2019,3112868,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Euro area - 19 countries  (2015-2022),2020,3043333,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Euro area - 19 countries  (2015-2022),2021,3085074,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Euro area - 19 countries  (2015-2022),2022,2951533,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Euro area - 19 countries  (2015-2022),2023,2811423,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Euro area – 20 countries (from 2023),2014,3343831,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Euro area – 20 countries (from 2023),2015,3316285,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Euro area – 20 countries (from 2023),2016,3338363,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Euro area – 20 countries (from 2023),2017,3265384,bep,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Euro area – 20 countries (from 2023),2018,3206423,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Euro area – 20 countries (from 2023),2019,3149003,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Euro area – 20 countries (from 2023),2020,3079178,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Euro area – 20 countries (from 2023),2021,3121582,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Euro area – 20 countries (from 2023),2022,2985416,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Euro area – 20 countries (from 2023),2023,2843593,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Estonia,2014,13551,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Estonia,2015,13907,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Estonia,2016,14053,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Estonia,2017,13784,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Estonia,2018,14367,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Estonia,2019,14099,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Estonia,2020,13209,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Estonia,2021,13272,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Estonia,2022,11646,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Estonia,2023,10949,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",2014,5160299,e,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",2015,5132024,bep,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",2016,5178591,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",2017,5107015,bep,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",2018,4998052,be,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,"European Economic Area (EU28 - 2013-2020 and IS, LI, NO)",2014,5199865,e,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,"European Economic Area (EU28 - 2013-2020 and IS, LI, NO)",2015,5169527,bep,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,"European Economic Area (EU28 - 2013-2020 and IS, LI, NO)",2016,5216128,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,"European Economic Area (EU28 - 2013-2020 and IS, LI, NO)",2017,5143571,bep,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,"European Economic Area (EU28 - 2013-2020 and IS, LI, NO)",2018,5034997,be,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,European Free Trade Association,2020,143758,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,European Free Trade Association,2021,150958,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,European Free Trade Association,2022,138606,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,European Free Trade Association,2023,136683,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Greece,2014,92149,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Greece,2015,91847,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Greece,2016,92898,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Greece,2017,88553,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Greece,2018,86440,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Greece,2019,83763,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Greece,2020,84764,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Greece,2021,85346,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Greece,2022,75921,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Greece,2023,71249,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Spain,2014,426076,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Spain,2015,418432,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Spain,2016,408734,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Spain,2017,391265,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Spain,2018,370827,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Spain,2019,358747,,
